entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"World",,true,"2022","Total generation",true,28918.31,100,3605.73,658.32,2.33,0,82.08
"World",,true,"2022","Wind",false,2107.18,7.29,262.74,250.48,13.49,0.72,31.23
"World",,true,"2023","Bioenergy",false,677.88,2.29,83.79,7.85,1.17,-0.03,0.97
"World",,true,"2023","Coal",false,10401.21,35.06,1285.62,158.22,1.54,-0.36,19.56
"World",,true,"2023","Gas",false,6715.93,22.64,830.11,86.18,1.3,-0.29,10.65
"World",,true,"2023","Hydro",false,4231.91,14.27,523.08,-90.75,-2.1,-0.68,-11.22
"World",,true,"2023","Nuclear",false,2699.34,9.1,333.65,59.7,2.26,-0.03,7.38
"World",,true,"2023","Other fossil",false,874.15,2.95,108.05,-13.89,-1.56,-0.12,-1.72
"World",,true,"2023","Other renewables",false,88.92,0.3,10.99,1.01,1.15,0,0.12
"World",,true,"2023","Solar",false,1659.75,5.6,205.15,329.64,24.78,1,40.74
"World",,true,"2023","Total generation",true,29663.03,100,3666.44,744.72,2.58,0,92.05
"World",,true,"2023","Wind",false,2313.94,7.8,286.01,206.76,9.81,0.51,25.56
"World",,true,"2024","Bioenergy",false,700.01,2.26,85.78,22.13,3.26,-0.03,2.71
"World",,true,"2024","Coal",false,10541.32,34.1,1291.73,140.11,1.35,-0.96,17.17
"World",,true,"2024","Gas",false,6891.61,22.29,844.49,175.68,2.62,-0.35,21.53
"World",,true,"2024","Hydro",false,4408.47,14.26,540.21,176.56,4.17,-0.01,21.64
"World",,true,"2024","Nuclear",false,2777.72,8.99,340.38,78.38,2.9,-0.11,9.6
"World",,true,"2024","Other fossil",false,874.71,2.83,107.19,0.56,0.06,-0.12,0.07
"World",,true,"2024","Other renewables",false,88.67,0.29,10.87,-0.25,-0.28,-0.01,-0.03
"World",,true,"2024","Solar",false,2128.58,6.89,260.83,468.83,28.25,1.29,57.45
"World",,true,"2024","Total generation",true,30913.94,100,3788.17,1250.91,4.22,0,153.29
"World",,true,"2024","Wind",false,2502.85,8.1,306.7,188.91,8.16,0.3,23.15
